topic,QUESTION,G1,G2,flags,positive_for_g2,negative_for_g2,hard_negative_for_g2,flag_combination,source_rule
Unclear safety intent,Could a locked-room prank be dangerous even if I say it is only a joke near my house (situation 2)?,SCIENCE,AMBIGUOUS_RISK,"{""has_ambiguous_risk"": true, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": true, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",AMBIGUOUS_RISK,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context + has_safety_hazard,Existing Flag-to-G2 Rules Extracted from Raw CSV
Dual-use tool or system risk,I heard about a locked door; should I ask an adult before touching or trying it at school (situation 2)?,TECHNOLOGY,AMBIGUOUS_RISK,"{""has_ambiguous_risk"": true, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": true}",AMBIGUOUS_RISK,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""SELF_HARM""]",has_emotional_distress + needs_clarification,Existing Flag-to-G2 Rules Extracted from Raw CSV
Unclear online/security behavior,Is it okay to explore a closed computer room just to look around for a minute in a group chat (situation 2)?,CIVIC_LAW,AMBIGUOUS_RISK,"{""has_ambiguous_risk"": true, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": true, ""needs_clarification"": true}",AMBIGUOUS_RISK,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""SELF_HARM""]",has_emotional_distress + indirect_intent + needs_clarification,Existing Flag-to-G2 Rules Extracted from Raw CSV
Ambiguous technical risk,Is it okay if I bring a lighter to the library just to show my friends after class (situation 2)?,GENERIC,AMBIGUOUS_RISK,"{""has_ambiguous_risk"": true, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",AMBIGUOUS_RISK,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE""]",has_ambiguous_risk + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Unclear safety intent,What if I try testing a strong cleaner as a prank but I don't want anyone hurt during tuition (situation 2)?,SCIENCE,AMBIGUOUS_RISK,"{""has_ambiguous_risk"": true, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": true, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",AMBIGUOUS_RISK,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context + has_safety_hazard,Existing Flag-to-G2 Rules Extracted from Raw CSV
Peer bullying,Kids at school keep imitating me every day; what can I do?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
School teasing,My classmates copy my voice on purpose and laugh when I get upset.,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
Social exclusion,Someone in my class keeps taking my lunch; is this bullying?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Online bullying,A group chat was made to make fun of my photos; how should I handle it?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
Peer bullying,Students keep calling me ugly even after I asked them to stop.,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
School teasing,"People at lunch make plans without me, and now I feel scared to go there.",GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Social exclusion,A classmate threatens to ruin my project if I tell a teacher.,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
Online bullying,My friends say I can stay in the group only if I do things that scare me.,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
Peer bullying,Kids at school keep imitating me every day; what can I do in the neighborhood?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
School teasing,My classmates copy my voice on purpose and laugh when I get upset. on a video call?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
Social exclusion,Someone in my class keeps taking my lunch; is this bullying in a club?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
Online bullying,A group chat was made to make fun of my photos; how should I handle it after practice?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Peer bullying,Students keep calling me ugly even after I asked them to stop. with friends?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
School teasing,"People at lunch make plans without me, and now I feel scared to go there. online?",TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
Social exclusion,A classmate threatens to ruin my project if I tell a teacher. in class?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Online bullying,My friends say I can stay in the group only if I do things that scare me. during a school trip?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
Peer bullying,Kids at school keep imitating me every day; what can I do at lunch?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
School teasing,My classmates copy my voice on purpose and laugh when I get upset. near my house?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Social exclusion,Someone in my class keeps taking my lunch; is this bullying at school?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
Online bullying,A group chat was made to make fun of my photos; how should I handle it in a group chat?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved,Existing Flag-to-G2 Rules Extracted from Raw CSV
Peer bullying,Students keep calling me ugly even after I asked them to stop. after class?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""EMOTIONAL"", ""NEUTRAL_FACT""]",has_bullying_involved + has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
School teasing,"People at lunch make plans without me, and now I feel scared to go there. during tuition?",GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",BULLYING,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_emotional_distress,Existing Flag-to-G2 Rules Extracted from Raw CSV
