term,example
coonass,Someone sent a message with coonass and got reported.
coonass,They were suspended for yelling coonass in the corridor.
coonass,The audio clip caught him saying coonass.
coonass,A fake account replied with coonass under her photo.
cornhole,The message turned explicit the moment someone wrote cornhole.
cornhole,She showed me a screenshot where he said cornhole.
cornhole,Someone in the thread kept baiting people with cornhole.
cornhole,The chat got uncomfortable after they started saying cornhole.
cornhole,He typed cornhole and waited for everyone to react.
cox-zucker machine,He dropped cox-zucker machine into the group chat out of nowhere.
cox-zucker machine,Someone wrote cox-zucker machine on the shared doc as a joke.
cox-zucker machine,The whole comment section spiraled after cox-zucker machine showed up.
cox-zucker machine,She read the caption out loud and it ended with cox-zucker machine.
cox-zucker machine,He posted cox-zucker machine just to shock people in the thread.
cracker,He said cracker at the lunch table and everyone went quiet.
cracker,Someone sent a message with cracker and got reported.
cracker,They were suspended for yelling cracker in the corridor.
cracker,The audio clip caught him saying cracker.
cracker,A fake account replied with cracker under her photo.
damnation,He dropped his bag and went damnation.
damnation,I heard her say damnation after the call ended.
damnation,The first thing he shouted was damnation.
damnation,She typed damnation and logged off.
damnation,He looked at the score and just said damnation.
dumbass,He muttered dumbass when he thought I could not hear him.
dumbass,She texted wow dumbass and then unsent it.
dumbass,Someone behind me said dumbass after I answered.
dumbass,The note on my desk just said dumbass.
dumbass,He laughed and called his teammate dumbass after the miss.
enshittification,He slammed his book shut and said enshittification.
enshittification,The caption ended with enshittification in all caps.
enshittification,She stared at the broken screen and whispered enshittification.
enshittification,Someone in voice chat kept repeating enshittification.
enshittification,His reply was literally just enshittification.
feck,He slammed his book shut and said feck.
feck,The caption ended with feck in all caps.
feck,She stared at the broken screen and whispered feck.
feck,Someone in voice chat kept repeating feck.
feck,His reply was literally just feck.
list of films that most frequently use the word fuck,He dropped list of films that most frequently use the word fuck into the group chat out of nowhere.
list of films that most frequently use the word fuck,Someone wrote list of films that most frequently use the word fuck on the shared doc as a joke.
list of films that most frequently use the word fuck,The whole comment section spiraled after list of films that most frequently use the word fuck showed up.
list of films that most frequently use the word fuck,She read the caption out loud and it ended with list of films that most frequently use the word fuck.
list of films that most frequently use the word fuck,He posted list of films that most frequently use the word fuck just to shock people in the thread.
fuck her right in the pussy,The message turned explicit the moment someone wrote fuck her right in the pussy.
fuck her right in the pussy,She showed me a screenshot where he said fuck her right in the pussy.
fuck her right in the pussy,Someone in the thread kept baiting people with fuck her right in the pussy.
fuck her right in the pussy,The chat got uncomfortable after they started saying fuck her right in the pussy.
fuck her right in the pussy,He typed fuck her right in the pussy and waited for everyone to react.
fuck joe biden,He dropped fuck joe biden into the group chat out of nowhere.
fuck joe biden,Someone wrote fuck joe biden on the shared doc as a joke.
fuck joe biden,The whole comment section spiraled after fuck joe biden showed up.
fuck joe biden,She read the caption out loud and it ended with fuck joe biden.
fuck joe biden,He posted fuck joe biden just to shock people in the thread.
"fuck, marry, kill","He dropped fuck, marry, kill into the group chat out of nowhere."
"fuck, marry, kill","Someone wrote fuck, marry, kill on the shared doc as a joke."
"fuck, marry, kill","The whole comment section spiraled after fuck, marry, kill showed up."
"fuck, marry, kill","She read the caption out loud and it ended with fuck, marry, kill."
"fuck, marry, kill","He posted fuck, marry, kill just to shock people in the thread."
fuckery,He slammed his book shut and said fuckery.
fuckery,The caption ended with fuckery in all caps.
fuckery,She stared at the broken screen and whispered fuckery.
fuckery,Someone in voice chat kept repeating fuckery.
fuckery,His reply was literally just fuckery.
gay,He wrote gay on the whiteboard as a joke.
gay,Someone used gay in the voice chat and got kicked.
gay,The comment called him gay and then added laughing emojis.
gay,She heard gay from the back of the class.
gay,A student got reported for posting gay.
grab 'em by the pussy,The message turned explicit the moment someone wrote grab 'em by the pussy.
grab 'em by the pussy,She showed me a screenshot where he said grab 'em by the pussy.
grab 'em by the pussy,Someone in the thread kept baiting people with grab 'em by the pussy.
grab 'em by the pussy,The chat got uncomfortable after they started saying grab 'em by the pussy.
grab 'em by the pussy,He typed grab 'em by the pussy and waited for everyone to react.
healslut,The message turned explicit the moment someone wrote healslut.
healslut,She showed me a screenshot where he said healslut.
healslut,Someone in the thread kept baiting people with healslut.
healslut,The chat got uncomfortable after they started saying healslut.
healslut,He typed healslut and waited for everyone to react.
hell,He dropped his bag and went hell.
hell,I heard her say hell after the call ended.
hell,The first thing he shouted was hell.
hell,She typed hell and logged off.
hell,He looked at the score and just said hell.
hori,He said hori at the lunch table and everyone went quiet.
hori,Someone sent a message with hori and got reported.
hori,They were suspended for yelling hori in the corridor.
hori,The audio clip caught him saying hori.
hori,A fake account replied with hori under her photo.
if you see kay,He dropped if you see kay into the group chat out of nowhere.
if you see kay,Someone wrote if you see kay on the shared doc as a joke.
if you see kay,The whole comment section spiraled after if you see kay showed up.
if you see kay,She read the caption out loud and it ended with if you see kay.
if you see kay,He posted if you see kay just to shock people in the thread.
jesus fucking christ,He dropped his bag and went jesus fucking christ.
jesus fucking christ,I heard her say jesus fucking christ after the call ended.
jesus fucking christ,The first thing he shouted was jesus fucking christ.
jesus fucking christ,She typed jesus fucking christ and logged off.
jesus fucking christ,He looked at the score and just said jesus fucking christ.
use of nigger in proper names,He dropped use of nigger in proper names into the group chat out of nowhere.
use of nigger in proper names,Someone wrote use of nigger in proper names on the shared doc as a joke.
use of nigger in proper names,The whole comment section spiraled after use of nigger in proper names showed up.
use of nigger in proper names,She read the caption out loud and it ended with use of nigger in proper names.
use of nigger in proper names,He posted use of nigger in proper names just to shock people in the thread.
niggerhead,He said niggerhead at the lunch table and everyone went quiet.
niggerhead,Someone sent a message with niggerhead and got reported.
niggerhead,They were suspended for yelling niggerhead in the corridor.
niggerhead,The audio clip caught him saying niggerhead.
niggerhead,A fake account replied with niggerhead under her photo.
pajeet,He said pajeet at the lunch table and everyone went quiet.
pajeet,Someone sent a message with pajeet and got reported.
pajeet,They were suspended for yelling pajeet in the corridor.
pajeet,The audio clip caught him saying pajeet.
pajeet,A fake account replied with pajeet under her photo.
polaco,He said polaco at the lunch table and everyone went quiet.
polaco,Someone sent a message with polaco and got reported.
polaco,They were suspended for yelling polaco in the corridor.
polaco,The audio clip caught him saying polaco.
polaco,A fake account replied with polaco under her photo.
poof,He wrote poof on the whiteboard as a joke.
poof,Someone used poof in the voice chat and got kicked.
poof,The comment called him poof and then added laughing emojis.
poof,She heard poof from the back of the class.
poof,A student got reported for posting poof.
poofter,He wrote poofter on the whiteboard as a joke.
poofter,Someone used poofter in the voice chat and got kicked.
poofter,The comment called him poofter and then added laughing emojis.
poofter,She heard poofter from the back of the class.
poofter,A student got reported for posting poofter.
prick,He muttered prick when he thought I could not hear him.
prick,She texted wow prick and then unsent it.
prick,Someone behind me said prick after I answered.
prick,The note on my desk just said prick.
prick,He laughed and called his teammate prick after the miss.
queer,He wrote queer on the whiteboard as a joke.
queer,Someone used queer in the voice chat and got kicked.
queer,The comment called him queer and then added laughing emojis.
queer,She heard queer from the back of the class.
queer,A student got reported for posting queer.
ratfucking,He slammed his book shut and said ratfucking.
ratfucking,The caption ended with ratfucking in all caps.
ratfucking,She stared at the broken screen and whispered ratfucking.
ratfucking,Someone in voice chat kept repeating ratfucking.
ratfucking,His reply was literally just ratfucking.
"russian warship, go fuck yourself","He slammed his book shut and said russian warship, go fuck yourself."
"russian warship, go fuck yourself","The caption ended with russian warship, go fuck yourself in all caps."
"russian warship, go fuck yourself","She stared at the broken screen and whispered russian warship, go fuck yourself."
"russian warship, go fuck yourself","Someone in voice chat kept repeating russian warship, go fuck yourself."
"russian warship, go fuck yourself","His reply was literally just russian warship, go fuck yourself."
serving cunt,The message turned explicit the moment someone wrote serving cunt.
serving cunt,She showed me a screenshot where he said serving cunt.
serving cunt,Someone in the thread kept baiting people with serving cunt.
serving cunt,The chat got uncomfortable after they started saying serving cunt.
serving cunt,He typed serving cunt and waited for everyone to react.
shit happens,He dropped his bag and went shit happens.
shit happens,I heard her say shit happens after the call ended.
shit happens,The first thing he shouted was shit happens.
shit happens,She typed shit happens and logged off.
shit happens,He looked at the score and just said shit happens.
shithouse,He slammed his book shut and said shithouse.
shithouse,The caption ended with shithouse in all caps.
shithouse,She stared at the broken screen and whispered shithouse.
shithouse,Someone in voice chat kept repeating shithouse.
shithouse,His reply was literally just shithouse.
shitposting,He slammed his book shut and said shitposting.
shitposting,The caption ended with shitposting in all caps.
shitposting,She stared at the broken screen and whispered shitposting.
shitposting,Someone in voice chat kept repeating shitposting.
shitposting,His reply was literally just shitposting.
shitter,He slammed his book shut and said shitter.
shitter,The caption ended with shitter in all caps.
shitter,She stared at the broken screen and whispered shitter.
shitter,Someone in voice chat kept repeating shitter.
shitter,His reply was literally just shitter.
shut the fuck up,He slammed his book shut and said shut the fuck up.
shut the fuck up,The caption ended with shut the fuck up in all caps.
shut the fuck up,She stared at the broken screen and whispered shut the fuck up.
shut the fuck up,Someone in voice chat kept repeating shut the fuck up.
shut the fuck up,His reply was literally just shut the fuck up.
shut the hell up,He dropped his bag and went shut the hell up.
shut the hell up,I heard her say shut the hell up after the call ended.
shut the hell up,The first thing he shouted was shut the hell up.
shut the hell up,She typed shut the hell up and logged off.
shut the hell up,He looked at the score and just said shut the hell up.
son of a bitch,He slammed his book shut and said son of a bitch.
son of a bitch,The caption ended with son of a bitch in all caps.
son of a bitch,She stared at the broken screen and whispered son of a bitch.
son of a bitch,Someone in voice chat kept repeating son of a bitch.
son of a bitch,His reply was literally just son of a bitch.
taking the piss,He slammed his book shut and said taking the piss.
taking the piss,The caption ended with taking the piss in all caps.
taking the piss,She stared at the broken screen and whispered taking the piss.
taking the piss,Someone in voice chat kept repeating taking the piss.
taking the piss,His reply was literally just taking the piss.
unclefucker,The message turned explicit the moment someone wrote unclefucker.
unclefucker,She showed me a screenshot where he said unclefucker.
unclefucker,Someone in the thread kept baiting people with unclefucker.
unclefucker,The chat got uncomfortable after they started saying unclefucker.
unclefucker,He typed unclefucker and waited for everyone to react.
no cap,He dropped no cap into the group chat out of nowhere.
no cap,Someone wrote no cap on the shared doc as a joke.
no cap,The whole comment section spiraled after no cap showed up.
no cap,She read the caption out loud and it ended with no cap.
no cap,He posted no cap just to shock people in the thread.
cap,He dropped cap into the group chat out of nowhere.
cap,Someone wrote cap on the shared doc as a joke.
cap,The whole comment section spiraled after cap showed up.
cap,She read the caption out loud and it ended with cap.
cap,He posted cap just to shock people in the thread.
fr,He dropped fr into the group chat out of nowhere.
fr,Someone wrote fr on the shared doc as a joke.
fr,The whole comment section spiraled after fr showed up.
fr,She read the caption out loud and it ended with fr.
fr,He posted fr just to shock people in the thread.
for real,He dropped for real into the group chat out of nowhere.
for real,Someone wrote for real on the shared doc as a joke.
for real,The whole comment section spiraled after for real showed up.
for real,She read the caption out loud and it ended with for real.
for real,He posted for real just to shock people in the thread.
lowkey,He dropped lowkey into the group chat out of nowhere.
lowkey,Someone wrote lowkey on the shared doc as a joke.
lowkey,The whole comment section spiraled after lowkey showed up.
lowkey,She read the caption out loud and it ended with lowkey.
lowkey,He posted lowkey just to shock people in the thread.
highkey,He dropped highkey into the group chat out of nowhere.
highkey,Someone wrote highkey on the shared doc as a joke.
highkey,The whole comment section spiraled after highkey showed up.
highkey,She read the caption out loud and it ended with highkey.
highkey,He posted highkey just to shock people in the thread.
bet,He dropped bet into the group chat out of nowhere.
bet,Someone wrote bet on the shared doc as a joke.
bet,The whole comment section spiraled after bet showed up.
bet,She read the caption out loud and it ended with bet.
bet,He posted bet just to shock people in the thread.
slay,He dropped slay into the group chat out of nowhere.
slay,Someone wrote slay on the shared doc as a joke.
slay,The whole comment section spiraled after slay showed up.
slay,She read the caption out loud and it ended with slay.
slay,He posted slay just to shock people in the thread.
ate,He dropped ate into the group chat out of nowhere.
ate,Someone wrote ate on the shared doc as a joke.
ate,The whole comment section spiraled after ate showed up.
ate,She read the caption out loud and it ended with ate.
ate,He posted ate just to shock people in the thread.
left no crumbs,He dropped left no crumbs into the group chat out of nowhere.
left no crumbs,Someone wrote left no crumbs on the shared doc as a joke.
left no crumbs,The whole comment section spiraled after left no crumbs showed up.
left no crumbs,She read the caption out loud and it ended with left no crumbs.
left no crumbs,He posted left no crumbs just to shock people in the thread.
fire,He dropped fire into the group chat out of nowhere.
fire,Someone wrote fire on the shared doc as a joke.
fire,The whole comment section spiraled after fire showed up.
fire,She read the caption out loud and it ended with fire.
fire,He posted fire just to shock people in the thread.
lit,He dropped lit into the group chat out of nowhere.
lit,Someone wrote lit on the shared doc as a joke.
lit,The whole comment section spiraled after lit showed up.
lit,She read the caption out loud and it ended with lit.
lit,He posted lit just to shock people in the thread.
mid,He dropped mid into the group chat out of nowhere.
mid,Someone wrote mid on the shared doc as a joke.
mid,The whole comment section spiraled after mid showed up.
mid,She read the caption out loud and it ended with mid.
mid,He posted mid just to shock people in the thread.
sus,He dropped sus into the group chat out of nowhere.
sus,Someone wrote sus on the shared doc as a joke.
sus,The whole comment section spiraled after sus showed up.
sus,She read the caption out loud and it ended with sus.
sus,He posted sus just to shock people in the thread.
vibe,He dropped vibe into the group chat out of nowhere.
vibe,Someone wrote vibe on the shared doc as a joke.
vibe,The whole comment section spiraled after vibe showed up.
vibe,She read the caption out loud and it ended with vibe.
vibe,He posted vibe just to shock people in the thread.
mood,He dropped mood into the group chat out of nowhere.
mood,Someone wrote mood on the shared doc as a joke.
mood,The whole comment section spiraled after mood showed up.
mood,She read the caption out loud and it ended with mood.
mood,He posted mood just to shock people in the thread.
tea,He dropped tea into the group chat out of nowhere.
tea,Someone wrote tea on the shared doc as a joke.
tea,The whole comment section spiraled after tea showed up.
tea,She read the caption out loud and it ended with tea.
tea,He posted tea just to shock people in the thread.
spill,He dropped spill into the group chat out of nowhere.
spill,Someone wrote spill on the shared doc as a joke.
spill,The whole comment section spiraled after spill showed up.
spill,She read the caption out loud and it ended with spill.
spill,He posted spill just to shock people in the thread.
main character,He dropped main character into the group chat out of nowhere.
main character,Someone wrote main character on the shared doc as a joke.
main character,The whole comment section spiraled after main character showed up.
main character,She read the caption out loud and it ended with main character.
main character,He posted main character just to shock people in the thread.
npc,He muttered npc when he thought I could not hear him.
npc,She texted wow npc and then unsent it.
npc,Someone behind me said npc after I answered.
npc,The note on my desk just said npc.
npc,He laughed and called his teammate npc after the miss.
rizz,He dropped rizz into the group chat out of nowhere.
rizz,Someone wrote rizz on the shared doc as a joke.
rizz,The whole comment section spiraled after rizz showed up.
rizz,She read the caption out loud and it ended with rizz.
rizz,He posted rizz just to shock people in the thread.
w,He dropped w into the group chat out of nowhere.
w,Someone wrote w on the shared doc as a joke.
w,The whole comment section spiraled after w showed up.
w,She read the caption out loud and it ended with w.
w,He posted w just to shock people in the thread.
l,He dropped l into the group chat out of nowhere.
l,Someone wrote l on the shared doc as a joke.
l,The whole comment section spiraled after l showed up.
l,She read the caption out loud and it ended with l.
l,He posted l just to shock people in the thread.
big w,He dropped big w into the group chat out of nowhere.
big w,Someone wrote big w on the shared doc as a joke.
big w,The whole comment section spiraled after big w showed up.
big w,She read the caption out loud and it ended with big w.
big w,He posted big w just to shock people in the thread.
take the l,He dropped take the l into the group chat out of nowhere.
take the l,Someone wrote take the l on the shared doc as a joke.
take the l,The whole comment section spiraled after take the l showed up.
take the l,She read the caption out loud and it ended with take the l.
take the l,He posted take the l just to shock people in the thread.
glow up,He dropped glow up into the group chat out of nowhere.
glow up,Someone wrote glow up on the shared doc as a joke.
glow up,The whole comment section spiraled after glow up showed up.
glow up,She read the caption out loud and it ended with glow up.
glow up,He posted glow up just to shock people in the thread.
flex,He dropped flex into the group chat out of nowhere.
flex,Someone wrote flex on the shared doc as a joke.
flex,The whole comment section spiraled after flex showed up.
flex,She read the caption out loud and it ended with flex.
flex,He posted flex just to shock people in the thread.
cringe,He muttered cringe when he thought I could not hear him.
cringe,She texted wow cringe and then unsent it.
cringe,Someone behind me said cringe after I answered.
cringe,The note on my desk just said cringe.
cringe,He laughed and called his teammate cringe after the miss.
based,He dropped based into the group chat out of nowhere.
based,Someone wrote based on the shared doc as a joke.
based,The whole comment section spiraled after based showed up.
based,She read the caption out loud and it ended with based.
based,He posted based just to shock people in the thread.
valid,He dropped valid into the group chat out of nowhere.
valid,Someone wrote valid on the shared doc as a joke.
valid,The whole comment section spiraled after valid showed up.
valid,She read the caption out loud and it ended with valid.
valid,He posted valid just to shock people in the thread.
delulu,He muttered delulu when he thought I could not hear him.
delulu,She texted wow delulu and then unsent it.
delulu,Someone behind me said delulu after I answered.
delulu,The note on my desk just said delulu.
delulu,He laughed and called his teammate delulu after the miss.
touch grass,He muttered touch grass when he thought I could not hear him.
touch grass,She texted wow touch grass and then unsent it.
touch grass,Someone behind me said touch grass after I answered.
touch grass,The note on my desk just said touch grass.
touch grass,He laughed and called his teammate touch grass after the miss.
ratio,He dropped ratio into the group chat out of nowhere.
ratio,Someone wrote ratio on the shared doc as a joke.
ratio,The whole comment section spiraled after ratio showed up.
ratio,She read the caption out loud and it ended with ratio.
ratio,He posted ratio just to shock people in the thread.
cooked,He dropped cooked into the group chat out of nowhere.
cooked,Someone wrote cooked on the shared doc as a joke.
cooked,The whole comment section spiraled after cooked showed up.
cooked,She read the caption out loud and it ended with cooked.
cooked,He posted cooked just to shock people in the thread.
locked in,He dropped locked in into the group chat out of nowhere.
locked in,Someone wrote locked in on the shared doc as a joke.
locked in,The whole comment section spiraled after locked in showed up.
locked in,She read the caption out loud and it ended with locked in.
locked in,He posted locked in just to shock people in the thread.
brain rot,He dropped brain rot into the group chat out of nowhere.
brain rot,Someone wrote brain rot on the shared doc as a joke.
brain rot,The whole comment section spiraled after brain rot showed up.
brain rot,She read the caption out loud and it ended with brain rot.
brain rot,He posted brain rot just to shock people in the thread.
skibidi,He dropped skibidi into the group chat out of nowhere.
skibidi,Someone wrote skibidi on the shared doc as a joke.
skibidi,The whole comment section spiraled after skibidi showed up.
skibidi,She read the caption out loud and it ended with skibidi.
skibidi,He posted skibidi just to shock people in the thread.
sigma,He dropped sigma into the group chat out of nowhere.
sigma,Someone wrote sigma on the shared doc as a joke.
sigma,The whole comment section spiraled after sigma showed up.
sigma,She read the caption out loud and it ended with sigma.
sigma,He posted sigma just to shock people in the thread.
alpha,He dropped alpha into the group chat out of nowhere.
alpha,Someone wrote alpha on the shared doc as a joke.
alpha,The whole comment section spiraled after alpha showed up.
alpha,She read the caption out loud and it ended with alpha.
alpha,He posted alpha just to shock people in the thread.
beta,He muttered beta when he thought I could not hear him.
beta,She texted wow beta and then unsent it.
beta,Someone behind me said beta after I answered.
beta,The note on my desk just said beta.
beta,He laughed and called his teammate beta after the miss.
aura points,He dropped aura points into the group chat out of nowhere.
aura points,Someone wrote aura points on the shared doc as a joke.
aura points,The whole comment section spiraled after aura points showed up.
aura points,She read the caption out loud and it ended with aura points.
aura points,He posted aura points just to shock people in the thread.
6-7,He dropped 6-7 into the group chat out of nowhere.
6-7,Someone wrote 6-7 on the shared doc as a joke.
6-7,The whole comment section spiraled after 6-7 showed up.
6-7,She read the caption out loud and it ended with 6-7.
6-7,He posted 6-7 just to shock people in the thread.
six seven,He dropped six seven into the group chat out of nowhere.
six seven,Someone wrote six seven on the shared doc as a joke.
six seven,The whole comment section spiraled after six seven showed up.
six seven,She read the caption out loud and it ended with six seven.
six seven,He posted six seven just to shock people in the thread.
chat,He dropped chat into the group chat out of nowhere.
chat,Someone wrote chat on the shared doc as a joke.
chat,The whole comment section spiraled after chat showed up.
chat,She read the caption out loud and it ended with chat.
chat,He posted chat just to shock people in the thread.
pookie,He dropped pookie into the group chat out of nowhere.
pookie,Someone wrote pookie on the shared doc as a joke.
pookie,The whole comment section spiraled after pookie showed up.
pookie,She read the caption out loud and it ended with pookie.
pookie,He posted pookie just to shock people in the thread.
bestie,He dropped bestie into the group chat out of nowhere.
bestie,Someone wrote bestie on the shared doc as a joke.
bestie,The whole comment section spiraled after bestie showed up.
bestie,She read the caption out loud and it ended with bestie.
bestie,He posted bestie just to shock people in the thread.
bro,He dropped bro into the group chat out of nowhere.
bro,Someone wrote bro on the shared doc as a joke.
bro,The whole comment section spiraled after bro showed up.
bro,She read the caption out loud and it ended with bro.
bro,He posted bro just to shock people in the thread.
bruh,He dropped bruh into the group chat out of nowhere.
bruh,Someone wrote bruh on the shared doc as a joke.
bruh,The whole comment section spiraled after bruh showed up.
bruh,She read the caption out loud and it ended with bruh.
bruh,He posted bruh just to shock people in the thread.
girlie,He dropped girlie into the group chat out of nowhere.
girlie,Someone wrote girlie on the shared doc as a joke.
girlie,The whole comment section spiraled after girlie showed up.
girlie,She read the caption out loud and it ended with girlie.
girlie,He posted girlie just to shock people in the thread.
squad,He dropped squad into the group chat out of nowhere.
squad,Someone wrote squad on the shared doc as a joke.
squad,The whole comment section spiraled after squad showed up.
squad,She read the caption out loud and it ended with squad.
squad,He posted squad just to shock people in the thread.
gang,He dropped gang into the group chat out of nowhere.
gang,Someone wrote gang on the shared doc as a joke.
gang,The whole comment section spiraled after gang showed up.
gang,She read the caption out loud and it ended with gang.
gang,He posted gang just to shock people in the thread.
fam,He dropped fam into the group chat out of nowhere.
fam,Someone wrote fam on the shared doc as a joke.
fam,The whole comment section spiraled after fam showed up.
fam,She read the caption out loud and it ended with fam.
fam,He posted fam just to shock people in the thread.
opp,He muttered opp when he thought I could not hear him.
opp,She texted wow opp and then unsent it.
opp,Someone behind me said opp after I answered.
opp,The note on my desk just said opp.
opp,He laughed and called his teammate opp after the miss.
beef,He dropped beef into the group chat out of nowhere.
beef,Someone wrote beef on the shared doc as a joke.
beef,The whole comment section spiraled after beef showed up.
beef,She read the caption out loud and it ended with beef.
beef,He posted beef just to shock people in the thread.
drama,He dropped drama into the group chat out of nowhere.
drama,Someone wrote drama on the shared doc as a joke.
drama,The whole comment section spiraled after drama showed up.
drama,She read the caption out loud and it ended with drama.
drama,He posted drama just to shock people in the thread.
shade,He muttered shade when he thought I could not hear him.
shade,She texted wow shade and then unsent it.
shade,Someone behind me said shade after I answered.
shade,The note on my desk just said shade.
shade,He laughed and called his teammate shade after the miss.
roast,He muttered roast when he thought I could not hear him.
roast,She texted wow roast and then unsent it.
roast,Someone behind me said roast after I answered.
roast,The note on my desk just said roast.
roast,He laughed and called his teammate roast after the miss.
clap back,He dropped clap back into the group chat out of nowhere.
clap back,Someone wrote clap back on the shared doc as a joke.
clap back,The whole comment section spiraled after clap back showed up.
clap back,She read the caption out loud and it ended with clap back.
clap back,He posted clap back just to shock people in the thread.
salty,He muttered salty when he thought I could not hear him.
salty,She texted wow salty and then unsent it.
salty,Someone behind me said salty after I answered.
salty,The note on my desk just said salty.
salty,He laughed and called his teammate salty after the miss.
pressed,He muttered pressed when he thought I could not hear him.
pressed,She texted wow pressed and then unsent it.
pressed,Someone behind me said pressed after I answered.
pressed,The note on my desk just said pressed.
pressed,He laughed and called his teammate pressed after the miss.
ghosted,He dropped ghosted into the group chat out of nowhere.
ghosted,Someone wrote ghosted on the shared doc as a joke.
ghosted,The whole comment section spiraled after ghosted showed up.
ghosted,She read the caption out loud and it ended with ghosted.
ghosted,He posted ghosted just to shock people in the thread.
left on read,He dropped left on read into the group chat out of nowhere.
left on read,Someone wrote left on read on the shared doc as a joke.
left on read,The whole comment section spiraled after left on read showed up.
left on read,She read the caption out loud and it ended with left on read.
left on read,He posted left on read just to shock people in the thread.
dry texting,He dropped dry texting into the group chat out of nowhere.
dry texting,Someone wrote dry texting on the shared doc as a joke.
dry texting,The whole comment section spiraled after dry texting showed up.
dry texting,She read the caption out loud and it ended with dry texting.
dry texting,He posted dry texting just to shock people in the thread.
soft launch,He dropped soft launch into the group chat out of nowhere.
soft launch,Someone wrote soft launch on the shared doc as a joke.
soft launch,The whole comment section spiraled after soft launch showed up.
soft launch,She read the caption out loud and it ended with soft launch.
soft launch,He posted soft launch just to shock people in the thread.
ship,He dropped ship into the group chat out of nowhere.
ship,Someone wrote ship on the shared doc as a joke.
ship,The whole comment section spiraled after ship showed up.
ship,She read the caption out loud and it ended with ship.
ship,He posted ship just to shock people in the thread.
crush,He dropped crush into the group chat out of nowhere.
crush,Someone wrote crush on the shared doc as a joke.
crush,The whole comment section spiraled after crush showed up.
crush,She read the caption out loud and it ended with crush.
crush,He posted crush just to shock people in the thread.
situationship,He dropped situationship into the group chat out of nowhere.
situationship,Someone wrote situationship on the shared doc as a joke.
situationship,The whole comment section spiraled after situationship showed up.
situationship,She read the caption out loud and it ended with situationship.
situationship,He posted situationship just to shock people in the thread.
red flag,He dropped red flag into the group chat out of nowhere.
red flag,Someone wrote red flag on the shared doc as a joke.
red flag,The whole comment section spiraled after red flag showed up.
red flag,She read the caption out loud and it ended with red flag.
red flag,He posted red flag just to shock people in the thread.
green flag,He dropped green flag into the group chat out of nowhere.
green flag,Someone wrote green flag on the shared doc as a joke.
green flag,The whole comment section spiraled after green flag showed up.
green flag,She read the caption out loud and it ended with green flag.
green flag,He posted green flag just to shock people in the thread.
toxic,He muttered toxic when he thought I could not hear him.
toxic,She texted wow toxic and then unsent it.
toxic,Someone behind me said toxic after I answered.
toxic,The note on my desk just said toxic.
toxic,He laughed and called his teammate toxic after the miss.
gaslight,He dropped gaslight into the group chat out of nowhere.
gaslight,Someone wrote gaslight on the shared doc as a joke.
gaslight,The whole comment section spiraled after gaslight showed up.
gaslight,She read the caption out loud and it ended with gaslight.
gaslight,He posted gaslight just to shock people in the thread.
gatekeep,He dropped gatekeep into the group chat out of nowhere.
gatekeep,Someone wrote gatekeep on the shared doc as a joke.
gatekeep,The whole comment section spiraled after gatekeep showed up.
gatekeep,She read the caption out loud and it ended with gatekeep.
gatekeep,He posted gatekeep just to shock people in the thread.
cancel,He dropped cancel into the group chat out of nowhere.
cancel,Someone wrote cancel on the shared doc as a joke.
cancel,The whole comment section spiraled after cancel showed up.
cancel,She read the caption out loud and it ended with cancel.
cancel,He posted cancel just to shock people in the thread.
expose,He dropped expose into the group chat out of nowhere.
expose,Someone wrote expose on the shared doc as a joke.
expose,The whole comment section spiraled after expose showed up.
expose,She read the caption out loud and it ended with expose.
expose,He posted expose just to shock people in the thread.
receipts,He dropped receipts into the group chat out of nowhere.
receipts,Someone wrote receipts on the shared doc as a joke.
receipts,The whole comment section spiraled after receipts showed up.
receipts,She read the caption out loud and it ended with receipts.
receipts,He posted receipts just to shock people in the thread.
screenshot it,He dropped screenshot it into the group chat out of nowhere.
screenshot it,Someone wrote screenshot it on the shared doc as a joke.
screenshot it,The whole comment section spiraled after screenshot it showed up.
screenshot it,She read the caption out loud and it ended with screenshot it.
screenshot it,He posted screenshot it just to shock people in the thread.
dox,He dropped dox into the group chat out of nowhere.
dox,Someone wrote dox on the shared doc as a joke.
dox,The whole comment section spiraled after dox showed up.
dox,She read the caption out loud and it ended with dox.
dox,He posted dox just to shock people in the thread.
doxx,He dropped doxx into the group chat out of nowhere.
doxx,Someone wrote doxx on the shared doc as a joke.
doxx,The whole comment section spiraled after doxx showed up.
doxx,She read the caption out loud and it ended with doxx.
doxx,He posted doxx just to shock people in the thread.
alt account,He dropped alt account into the group chat out of nowhere.
alt account,Someone wrote alt account on the shared doc as a joke.
alt account,The whole comment section spiraled after alt account showed up.
alt account,She read the caption out loud and it ended with alt account.
alt account,He posted alt account just to shock people in the thread.
burner,He dropped burner into the group chat out of nowhere.
burner,Someone wrote burner on the shared doc as a joke.
burner,The whole comment section spiraled after burner showed up.
burner,She read the caption out loud and it ended with burner.
burner,He posted burner just to shock people in the thread.
dm,He dropped dm into the group chat out of nowhere.
dm,Someone wrote dm on the shared doc as a joke.
dm,The whole comment section spiraled after dm showed up.
dm,She read the caption out loud and it ended with dm.
dm,He posted dm just to shock people in the thread.
slide into dms,He dropped slide into dms into the group chat out of nowhere.
slide into dms,Someone wrote slide into dms on the shared doc as a joke.
slide into dms,The whole comment section spiraled after slide into dms showed up.
